,beryl,allen,structure_id
215,AUDp,AUDp6b,1005
216,ECT,ECT5,988
217,PC5,PC5,549009223
218,VISp,VISp4,721
219,DG,DGmb-sg,823
220,AON,AONpv,199
221,DG,DGmb-po,815
222,CLA,CLA,583
223,SSp-un,SSp-un4,182305701
224,MD,MDl,626
225,SSp-un,SSp-un6a,182305709
226,ILA,ILA1,707
227,SSp-un,SSp-un1,182305693
228,AUDv,AUDv4,990
229,PRNc,PRNc,1093
230,SCm,SCig-a,494
231,AUDv,AUDv2/3,755
232,VISa,VISa6a,312782566
233,PAG,INC,67
234,SSp-bfd,SSp-bfd6a,1038
235,DG,DG-sgz,10702
236,SSp-ul,SSp-ul2/3,854
237,ORBvl,ORBvl2/3,288
238,ACAv,ACAv2/3,296
239,OT,OT1-3,144
240,VISli,VISli5,312782590
241,COAp,COApm1-3,383
242,RM,RM,206
243,RSPagl,VISm5,480149330
244,PRP,PRP,169
245,LSr,LSr,258
246,SSp-bfd,VISrll5,480149218
247,VISC,VISC1,897
248,NR,NR,177
249,VISC,VISC5,1058
250,APN,APN,215
251,SUB,SUBd-sr,837
252,AOB,AOBmi,204
253,DT,DT,75
254,VMH,VMHvl,785
255,TTd,TTd2,1042
256,ENTm,ENTm5/6,550
257,SPVO,SPVOmdmd,53
258,COAp,COApm3,256
259,CEA,CEAc,544
260,RO,RO,222
261,XII,XII,773
262,VISam,VISam6a,1046
263,SSp-ul,SSp-ul4,577
264,MRN,MRNm,539
265,SSs,SSs6a,862
266,AMB,AMBv,143
267,PL,PL6a,84
268,SSp-tr,SSp-tr1,1006
269,TRS,TRS,581
270,TEa,TEa5,289
271,AUDpo,AUDpo2/3,643
272,PERI,PERI2/3,888
273,VISp,VISp6b,305
274,LIN,LIN,203
275,ENTl,ENTl2/3,999
276,AUDv,AUDv5,1023
277,ANcr2,ANcr2pu,10679
278,SLD,SLD,358
279,LHA,LHA,194
280,ACAd,ACAd6a,919
281,DCO,DCO,96
282,RSPagl,VISm6a,480149334
283,ADP,ADP,72
284,AId,AId5,1101
285,SSp-n,SSp-n1,558
286,LGv,LGvm,316
287,VMH,VMHa,761
288,AIv,AIv2/3,694
289,UVU,UVUpu,10733
290,NOD,NODgr,10735
291,TTv,TTv1-3,306
292,NTS,NTSco,666
293,VAL,VAL,629
294,ORBm,ORBm6b,527696977
295,COAa,COAa3,208
296,PAG,PRC,50
297,VISrl,VISrl6b,312782624
298,CENT3,CENT3mo,10713
299,LGd,LGd-sh,496345664
300,CENT3,CENT3pu,10712
301,VISpm,VISpm5,565
302,SSp-bfd,VISrll1,480149206
303,SSs,SSs2/3,806
304,MEA,MEApd-c,487
305,VISrl,VISrl1,312782604
306,COAp,COApm1,240
307,BST,BSTam,498
308,VISl,VISl5,613
309,PVp,PVp,126
310,ORBm,ORBm2/3,582
311,TR,TR1,1140
312,VISal,VISal6b,649
313,AM,AMv,1104
314,UVU,UVUmo,10734
315,NLOT,NLOT3,1139
316,IC,ICd,820
317,AON,AONl,183
318,PCN,PCN,907
319,RCH,RCH,173
320,COPY,COPYpu,10685
321,BST,BSTpr,578
322,DG,DGcr-mo,742
323,SPF,SPFm,414
324,PAG,ND,587
325,CUN,CUN,616
326,NB,NB,580
327,AUDd,AUDd6b,243
328,ACAd,ACAd2/3,211
329,POST,POST3,10698
330,PoT,PoT,563807435
331,DG,DGcr-sg,758
332,MEA,MEApd-a,472
333,VISal,VISal4,1114
334,BA,BA,292
335,ORBl,ORBl6a,440
336,VI,VI,653
337,RSPagl,VISmmp5,480149302
338,PRM,PRMgr,10681
339,SSp-m,SSp-m6b,2
340,MDRN,MDRNd,1098
341,PRM,PRMpu,10682
342,RSPagl,VISmmp6b,480149310
343,RSPagl,VISmma5,480149274
344,SSp-bfd,VISrll6b,480149226
345,MPN,MPNm,756
346,ORBl,ORBl1,448
347,IntG,IntG,563807439
348,IG,IG,19
349,ENTl,ENTl5,139
350,PFL,PFLgr,10687
351,AUDpo,AUDpo5,791
352,VISpor,VISpor4,312782640
